date,year_month,amount_rub,odometer_km
2025-12-21,2025-12,2310.99,212812
2025-11-26,2025-11,1851.81,212356
2025-10-26,2025-10,1320.82,211945
2025-10-14,2025-10,2282.99,211667
2025-09-28,2025-09,2702.19,211190
2025-09-10,2025-09,2664.26,210543
2025-08-24,2025-08,2584.25,210000
2025-08-14,2025-08,1088.47,209340
2025-08-03,2025-08,1869.15,209058
2025-07-23,2025-07,2585.84,208622
2025-07-16,2025-07,2010.57,207948
2025-07-05,2025-07,1931.22,207451
2025-06-27,2025-06,2752.43,206987
2025-05-31,2025-05,2354.13,206350
2025-05-16,2025-05,2659.67,205815
2025-05-01,2025-05,2216.56,205154
2025-04-11,2025-04,1804.59,204656
2025-03-25,2025-03,2278.61,204223
2025-03-03,2025-03,2226.16,203691
2025-02-21,2025-02,925.65,203149
2025-02-04,2025-02,1742.54,202902
2025-01-21,2025-01,1644.03,202600
2025-01-06,2025-01,2418.55,202232
2024-12-24,2024-12,1655.54,201683
2024-12-10,2024-12,1893.79,201361
2024-11-22,2024-11,1704.41,200964
2024-11-08,2024-11,2079.78,200621
2024-10-19,2024-10,999.52,200311
2024-10-13,2024-10,500.00,200201
2024-09-29,2024-09,2376.54,199554
2024-09-18,2024-09,2547.48,198969
2024-09-01,2024-09,2638.35,198387